datetime,pbl,pbs,cbh,ttc,sci,qc_flag_pbl,qc_flag_pbs,qc_flag_cbh,qc_flag_ttc,qc_flag_sci
01/01/2025 00:00,NA,0,498,8,0,5b,1b,1b,1b,1b
01/01/2025 01:00,NA,0,434,8,1,5b,1b,1b,1b,1b
01/01/2025 02:00,NA,0,475,8,0,5b,1b,1b,1b,1b
01/01/2025 03:00,NA,0,460.5,8,0,5b,1b,1b,1b,1b
01/01/2025 04:00,NA,0,492,8,0,5b,1b,1b,1b,1b
01/01/2025 05:00,NA,0,447,8,0,5b,1b,1b,1b,1b
01/01/2025 06:00,NA,0,529,8,0,5b,1b,1b,1b,1b
01/01/2025 07:00,NA,0,507,8,0,5b,1b,1b,1b,1b
01/01/2025 08:00,NA,0,502.5,8,1,5b,1b,1b,1b,1b
01/01/2025 09:00,NA,0,1636,8,4,5b,1b,1b,1b,1b
01/01/2025 10:00,500,0,1233,6,0,1b,1b,1b,1b,1b
01/01/2025 11:00,694,2,1332,8,0,1b,1b,1b,1b,1b
01/01/2025 12:00,739,2,1755.5,8,0,1b,1b,1b,1b,1b
01/01/2025 13:00,829,0,2117,8,0,1b,1b,1b,1b,1b
01/01/2025 14:00,NA,0,878.5,8,0,5b,1b,1b,1b,1b
01/01/2025 15:00,NA,0,721.5,8,0,5b,1b,1b,1b,1b
01/01/2025 16:00,NA,0,673,8,0,5b,1b,1b,1b,1b
01/01/2025 17:00,NA,0,616.5,8,0,5b,1b,1b,1b,1b
01/01/2025 18:00,514,1,5580,7,0,1b,1b,1b,1b,1b
01/01/2025 19:00,986.5,2,NA,3,0,1b,1b,5b,1b,1b
01/01/2025 20:00,949,2,NA,1,0,1b,1b,5b,1b,1b
01/01/2025 21:00,919,0,799,2,0,1b,1b,1b,1b,1b
01/01/2025 22:00,NA,0,702,7,0,5b,1b,1b,1b,1b
01/01/2025 23:00,NA,0,427,8,0,5b,1b,1b,1b,1b
02/01/2025 00:00,NA,0,513,8,0,5b,1b,1b,1b,1b
02/01/2025 01:00,739,0,945,8,0,1b,1b,1b,1b,1b
02/01/2025 02:00,500,1,918,4,0,1b,1b,1b,1b,1b
02/01/2025 03:00,485,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 04:00,425,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 05:00,350,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 06:00,455,1,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 07:00,485,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 08:00,500,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 09:00,604,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 10:00,544,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 11:00,754,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 12:00,500,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 13:00,694,1,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 14:00,634,1,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 15:00,485,1,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 16:00,455,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 17:00,1039,1,991,1,0,1b,1b,1b,1b,1b
02/01/2025 18:00,814,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 19:00,754,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 20:00,470,2,1955,0,0,1b,1b,1b,1b,1b
02/01/2025 21:00,485,2,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 22:00,754,1,NA,0,0,1b,1b,5b,1b,1b
02/01/2025 23:00,619,1,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 00:00,410,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 01:00,859,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 02:00,889,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 03:00,814,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 04:00,544,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 05:00,964,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 06:00,656.5,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 07:00,769,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 08:00,709,1,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 09:00,679,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 10:00,544,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 11:00,724,2,NA,0,0,1b,1b,5b,1b,1b
03/01/2025 12:00,544,2,1041,0,0,1b,1b,1b,1b,1b
03/01/2025 13:00,NA,0,1025,8,0,5b,1b,1b,1b,1b
03/01/2025 14:00,455,0,918,8,0,1b,1b,1b,1b,1b
03/01/2025 15:00,589,0,907,8,0,1b,1b,1b,1b,1b
03/01/2025 16:00,694,0,1037,8,0,1b,1b,1b,1b,1b
03/01/2025 17:00,380,0,981,8,0,1b,1b,1b,1b,1b
03/01/2025 18:00,410,2,916,6,0,1b,1b,1b,1b,1b
03/01/2025 19:00,485,2,981,4,0,1b,1b,1b,1b,1b
03/01/2025 20:00,470,2,1866,5,0,1b,1b,1b,1b,1b
03/01/2025 21:00,417.5,2,1875,4,0,1b,1b,1b,1b,1b
03/01/2025 22:00,619,2,8110,5,0,1b,1b,1b,1b,1b
03/01/2025 23:00,500,2,7329.5,6,0,1b,1b,1b,1b,1b
04/01/2025 00:00,754,1,6580,7,0,1b,1b,1b,1b,1b
04/01/2025 01:00,679,1,6056.5,8,0,1b,1b,1b,1b,1b
04/01/2025 02:00,694,2,5736,8,0,1b,1b,1b,1b,1b
04/01/2025 03:00,919,2,5219,8,0,1b,1b,1b,1b,1b
04/01/2025 04:00,619,2,4820,8,0,1b,1b,1b,1b,1b
04/01/2025 05:00,425,2,3978.5,8,0,1b,1b,1b,1b,1b
04/01/2025 06:00,994,2,3767,8,0,1b,1b,1b,1b,1b
04/01/2025 07:00,754,2,3805.5,8,0,1b,1b,1b,1b,1b
04/01/2025 08:00,649,0,124,8,3,1b,1b,1b,1b,1b
04/01/2025 09:00,500,1,3684.5,8,0,1b,1b,1b,1b,1b
04/01/2025 10:00,500,2,3396.5,8,0,1b,1b,1b,1b,1b
04/01/2025 11:00,634,4,3355,8,0,1b,1b,1b,1b,1b
04/01/2025 12:00,440,2,3197,8,0,1b,1b,1b,1b,1b
04/01/2025 13:00,686.5,4,2720,8,0,1b,1b,1b,1b,1b
04/01/2025 14:00,589,2,2658,8,0,1b,1b,1b,1b,1b
04/01/2025 15:00,514,2,2681,8,0,1b,1b,1b,1b,1b
04/01/2025 16:00,619,1,2253,8,0,1b,1b,1b,1b,1b
04/01/2025 17:00,829,1,2149.5,8,0,1b,1b,1b,1b,1b
04/01/2025 18:00,799,1,2188.5,8,0,1b,1b,1b,1b,1b
04/01/2025 19:00,1219,0,1582,8,0,1b,1b,1b,1b,1b
04/01/2025 20:00,NA,0,802.5,8,1,5b,1b,1b,1b,1b
04/01/2025 21:00,NA,0,161,8,1,5b,1b,1b,1b,1b
04/01/2025 22:00,NA,0,117.5,8,3,5b,1b,1b,1b,1b
04/01/2025 23:00,NA,0,126,8,3,5b,1b,1b,1b,1b
05/01/2025 00:00,NA,0,103,8,3,5b,1b,1b,1b,1b
05/01/2025 01:00,NA,0,111,8,3,5b,1b,1b,1b,1b
05/01/2025 02:00,NA,0,147,8,3,5b,1b,1b,1b,1b
05/01/2025 03:00,NA,0,163,8,3,5b,1b,1b,1b,1b
05/01/2025 04:00,NA,0,144,8,3,5b,1b,1b,1b,1b
05/01/2025 05:00,NA,0,131,8,3,5b,1b,1b,1b,1b
05/01/2025 06:00,NA,0,105.5,8,3,5b,1b,1b,1b,1b
05/01/2025 07:00,NA,0,74,8,3,5b,1b,1b,1b,1b
05/01/2025 08:00,NA,0,58,8,1,5b,1b,1b,1b,1b
05/01/2025 09:00,NA,0,64,8,1,5b,1b,1b,1b,1b
05/01/2025 10:00,NA,0,61,8,1,5b,1b,1b,1b,1b
05/01/2025 11:00,NA,0,58,8,1,5b,1b,1b,1b,1b
05/01/2025 12:00,NA,0,55,9,2,5b,1b,1b,1b,1b
05/01/2025 13:00,NA,0,41,9,2,5b,1b,1b,1b,1b
05/01/2025 14:00,NA,0,42,9,2,5b,1b,1b,1b,1b
05/01/2025 15:00,NA,0,50,9,2,5b,1b,1b,1b,1b
05/01/2025 16:00,NA,0,90,8,1,5b,1b,1b,1b,1b
05/01/2025 17:00,NA,0,64,9,2,5b,1b,1b,1b,1b
05/01/2025 18:00,NA,0,40,9,2,5b,1b,1b,1b,1b
05/01/2025 19:00,NA,0,47.5,9,2,5b,1b,1b,1b,1b
05/01/2025 20:00,NA,0,175,8,0,5b,1b,1b,1b,1b
05/01/2025 21:00,NA,0,229,8,0,5b,1b,1b,1b,1b
05/01/2025 22:00,NA,0,591.5,8,1,5b,1b,1b,1b,1b
05/01/2025 23:00,NA,0,1800,8,0,5b,1b,1b,1b,1b
06/01/2025 00:00,NA,0,379,8,0,5b,1b,1b,1b,1b
06/01/2025 01:00,NA,0,165,8,0,5b,1b,1b,1b,1b
06/01/2025 02:00,NA,0,144.5,8,1,5b,1b,1b,1b,1b
06/01/2025 03:00,NA,0,137,8,1,5b,1b,1b,1b,1b
06/01/2025 04:00,NA,0,155.5,8,1,5b,1b,1b,1b,1b
06/01/2025 05:00,NA,0,168.5,8,1,5b,1b,1b,1b,1b
06/01/2025 06:00,NA,0,162,8,1,5b,1b,1b,1b,1b
06/01/2025 07:00,NA,0,188,8,1,5b,1b,1b,1b,1b
06/01/2025 08:00,NA,0,204,8,0,5b,1b,1b,1b,1b
06/01/2025 09:00,NA,0,252,8,0,5b,1b,1b,1b,1b
06/01/2025 10:00,NA,0,319.5,8,0,5b,1b,1b,1b,1b
06/01/2025 11:00,NA,0,401.5,8,0,5b,1b,1b,1b,1b
06/01/2025 12:00,200,0,479,8,0,1b,1b,1b,1b,1b
06/01/2025 13:00,215,0,371,8,0,1b,1b,1b,1b,1b
06/01/2025 14:00,566.5,0,2882,6,0,1b,1b,1b,1b,1b
06/01/2025 15:00,1024,0,899.5,7,0,1b,1b,1b,1b,1b
06/01/2025 16:00,739,2,4848,7,0,1b,1b,1b,1b,1b
06/01/2025 17:00,664,2,4686.5,8,0,1b,1b,1b,1b,1b
06/01/2025 18:00,574,1,4939.5,8,0,1b,1b,1b,1b,1b
06/01/2025 19:00,589,1,4951.5,8,0,1b,1b,1b,1b,1b
06/01/2025 20:00,724,1,3691,8,0,1b,1b,1b,1b,1b
06/01/2025 21:00,919,2,2443,8,0,1b,1b,1b,1b,1b
06/01/2025 22:00,754,2,2721,8,0,1b,1b,1b,1b,1b
06/01/2025 23:00,559,2,4258,8,0,1b,1b,1b,1b,1b
07/01/2025 00:00,724,2,4244,8,0,1b,1b,1b,1b,1b
07/01/2025 01:00,724,2,4721,6,0,1b,1b,1b,1b,1b
07/01/2025 02:00,724,2,NA,2,0,1b,1b,5b,1b,1b
07/01/2025 03:00,754,2,4781,1,0,1b,1b,1b,1b,1b
07/01/2025 04:00,754,2,4522.5,5,0,1b,1b,1b,1b,1b
07/01/2025 05:00,410,2,4577.5,7,0,1b,1b,1b,1b,1b
07/01/2025 06:00,485,1,1144.5,4,0,1b,1b,1b,1b,1b
07/01/2025 07:00,455,1,675,4,0,1b,1b,1b,1b,1b
07/01/2025 08:00,485,2,1474,3,0,1b,1b,1b,1b,1b
07/01/2025 09:00,604,2,1175,7,0,1b,1b,1b,1b,1b
07/01/2025 10:00,500,2,5078.5,1,0,1b,1b,1b,1b,1b
07/01/2025 11:00,604,2,1591.5,4,0,1b,1b,1b,1b,1b
07/01/2025 12:00,799,0,1399,7,0,1b,1b,1b,1b,1b
07/01/2025 13:00,686.5,2,3013.5,6,0,1b,1b,1b,1b,1b
07/01/2025 14:00,664,2,4888,3,0,1b,1b,1b,1b,1b
07/01/2025 15:00,455,0,989,5,0,1b,1b,1b,1b,1b
07/01/2025 16:00,784,2,783,2,0,1b,1b,1b,1b,1b
07/01/2025 17:00,784,2,NA,1,0,1b,1b,5b,1b,1b
07/01/2025 18:00,754,2,NA,0,0,1b,1b,5b,1b,1b
07/01/2025 19:00,500,2,NA,0,0,1b,1b,5b,1b,1b
07/01/2025 20:00,679,2,NA,0,0,1b,1b,5b,1b,1b
07/01/2025 21:00,814,2,NA,0,0,1b,1b,5b,1b,1b
07/01/2025 22:00,859,2,NA,0,0,1b,1b,5b,1b,1b
07/01/2025 23:00,799,2,1091,1,0,1b,1b,1b,1b,1b
08/01/2025 00:00,739,2,764,0,0,1b,1b,1b,1b,1b
08/01/2025 01:00,806.5,2,NA,0,0,1b,1b,5b,1b,1b
08/01/2025 02:00,604,1,NA,0,0,1b,1b,5b,1b,1b
08/01/2025 03:00,694,1,7951,0,0,1b,1b,1b,1b,1b
08/01/2025 04:00,634,1,7446.5,3,0,1b,1b,1b,1b,1b
08/01/2025 05:00,679,2,6848,5,0,1b,1b,1b,1b,1b
08/01/2025 06:00,664,2,7935,6,0,1b,1b,1b,1b,1b
08/01/2025 07:00,425,1,7141.5,7,0,1b,1b,1b,1b,1b
08/01/2025 08:00,410,1,8130.5,7,0,1b,1b,1b,1b,1b
08/01/2025 09:00,485,1,7677,8,0,1b,1b,1b,1b,1b
08/01/2025 10:00,440,1,5430,8,0,1b,1b,1b,1b,1b
08/01/2025 11:00,470,1,5250,8,0,1b,1b,1b,1b,1b
08/01/2025 12:00,395,1,4890,8,0,1b,1b,1b,1b,1b
08/01/2025 13:00,634,3,4567.5,8,0,1b,1b,1b,1b,1b
08/01/2025 14:00,544,3,4240,8,0,1b,1b,1b,1b,1b
08/01/2025 15:00,559,2,4063.5,8,0,1b,1b,1b,1b,1b
08/01/2025 16:00,514,1,3838,8,0,1b,1b,1b,1b,1b
08/01/2025 17:00,559,2,3326,8,0,1b,1b,1b,1b,1b
08/01/2025 18:00,470,2,2921,8,0,1b,1b,1b,1b,1b
08/01/2025 19:00,455,2,3022,8,0,1b,1b,1b,1b,1b
08/01/2025 20:00,679,2,3009.5,8,0,1b,1b,1b,1b,1b
08/01/2025 21:00,649,1,3158.5,8,0,1b,1b,1b,1b,1b
08/01/2025 22:00,619,1,3240,8,0,1b,1b,1b,1b,1b
08/01/2025 23:00,215,1,3218.5,8,0,1b,1b,1b,1b,1b
09/01/2025 00:00,410,1,2784.5,8,0,1b,1b,1b,1b,1b
09/01/2025 01:00,380,1,3041,8,0,1b,1b,1b,1b,1b
09/01/2025 02:00,380,1,3504,8,0,1b,1b,1b,1b,1b
09/01/2025 03:00,350,1,NA,3,0,1b,1b,5b,1b,1b
09/01/2025 04:00,455,1,397,1,0,1b,1b,1b,1b,1b
09/01/2025 05:00,604,2,NA,0,0,1b,1b,5b,1b,1b
09/01/2025 06:00,507,1,NA,0,0,1b,1b,5b,1b,1b
09/01/2025 07:00,410,2,NA,0,0,1b,1b,5b,1b,1b
09/01/2025 08:00,455,2,NA,0,0,1b,1b,5b,1b,1b
09/01/2025 09:00,589,2,NA,0,0,1b,1b,5b,1b,1b
09/01/2025 10:00,769,0,3949,2,0,1b,1b,1b,1b,1b
09/01/2025 11:00,859,2,876,-2,0,1b,1b,1b,1b,1b
09/01/2025 12:00,-3,0,765,-2,0,1b,1b,1b,1b,1b
09/01/2025 13:00,365,1,812,4,0,1b,1b,1b,1b,1b
09/01/2025 14:00,859,1,903,1,0,1b,1b,1b,1b,1b
09/01/2025 15:00,649,2,NA,1,0,1b,1b,5b,1b,1b
09/01/2025 16:00,739,2,4825,0,0,1b,1b,1b,1b,1b
09/01/2025 17:00,949,0,1015.5,2,0,1b,1b,1b,1b,1b
09/01/2025 18:00,679,1,790.5,2,0,1b,1b,1b,1b,1b
09/01/2025 19:00,NA,0,783,8,0,5b,1b,1b,1b,1b
09/01/2025 20:00,544,0,907,7,0,1b,1b,1b,1b,1b
09/01/2025 21:00,470,2,NA,0,0,1b,1b,5b,1b,1b
09/01/2025 22:00,589,1,NA,0,0,1b,1b,5b,1b,1b
09/01/2025 23:00,440,1,NA,0,0,1b,1b,5b,1b,1b
10/01/2025 00:00,410,1,8697.5,0,0,1b,1b,1b,1b,1b
10/01/2025 01:00,544,1,8606,2,0,1b,1b,1b,1b,1b
10/01/2025 02:00,455,1,NA,1,0,1b,1b,5b,1b,1b
10/01/2025 03:00,350,1,8307,2,0,1b,1b,1b,1b,1b
10/01/2025 04:00,604,1,9283,5,0,1b,1b,1b,1b,1b
10/01/2025 05:00,574,1,9492,4,0,1b,1b,1b,1b,1b
10/01/2025 06:00,604,1,8951,5,0,1b,1b,1b,1b,1b
10/01/2025 07:00,559,1,NA,2,0,1b,1b,5b,1b,1b
10/01/2025 08:00,544,1,6939,1.5,0,1b,1b,1b,1b,1b
10/01/2025 09:00,410,1,6359,6,0,1b,1b,1b,1b,1b
10/01/2025 10:00,305,1,6628,7,0,1b,1b,1b,1b,1b
10/01/2025 11:00,410,1,6620.5,8,0,1b,1b,1b,1b,1b
10/01/2025 12:00,380,1,6389,8,0,1b,1b,1b,1b,1b
10/01/2025 13:00,335,1,6449,8,0,1b,1b,1b,1b,1b
10/01/2025 14:00,320,1,6553,8,0,1b,1b,1b,1b,1b
10/01/2025 15:00,275,1,7602,3,0,1b,1b,1b,1b,1b
10/01/2025 16:00,245,1,1751,1,0,1b,1b,1b,1b,1b
10/01/2025 17:00,335,1,NA,1,0,1b,1b,5b,1b,1b
10/01/2025 18:00,245,1,NA,0,0,1b,1b,5b,1b,1b
10/01/2025 19:00,365,2,NA,0,0,1b,1b,5b,1b,1b
10/01/2025 20:00,410,2,NA,0,0,1b,1b,5b,1b,1b
10/01/2025 21:00,514,1,NA,0,0,1b,1b,5b,1b,1b
10/01/2025 22:00,290,1,NA,0,0,1b,1b,5b,1b,1b
10/01/2025 23:00,440,1,NA,0,0,1b,1b,5b,1b,1b
11/01/2025 00:00,410,1,NA,0,0,1b,1b,5b,1b,1b
11/01/2025 01:00,215,1,NA,0,0,1b,1b,5b,1b,1b
11/01/2025 02:00,320,1,NA,0,0,1b,1b,5b,1b,1b
11/01/2025 03:00,514,1,NA,0,0,1b,1b,5b,1b,1b
11/01/2025 04:00,335,1,NA,0,0,1b,1b,5b,1b,1b
11/01/2025 05:00,275,1,17,0,0,1b,1b,1b,1b,1b
11/01/2025 06:00,604,0,24,6,2,1b,1b,1b,1b,1b
11/01/2025 07:00,NA,0,34,9,2,5b,1b,1b,1b,1b
11/01/2025 08:00,NA,0,49,9,2,5b,1b,1b,1b,1b
11/01/2025 09:00,NA,0,32,9,2,5b,1b,1b,1b,1b
11/01/2025 10:00,NA,0,49,8,3,5b,1b,1b,1b,1b
11/01/2025 11:00,NA,0,58,8,3,5b,1b,1b,1b,1b
11/01/2025 12:00,365,2,NA,2,0,1b,1b,5b,1b,1b
11/01/2025 13:00,335,2,4690,3,0,1b,1b,1b,1b,1b
11/01/2025 14:00,544,2,4541,6,0,1b,1b,1b,1b,1b
11/01/2025 15:00,335,2,3901.5,7,0,1b,1b,1b,1b,1b
11/01/2025 16:00,320,1,2795.5,8,0,1b,1b,1b,1b,1b
11/01/2025 17:00,440,2,1946,8,0,1b,1b,1b,1b,1b
11/01/2025 18:00,215,1,2328,8,0,1b,1b,1b,1b,1b
11/01/2025 19:00,215,1,1019,8,0,1b,1b,1b,1b,1b
11/01/2025 20:00,395,0,1042.5,8,0,1b,1b,1b,1b,1b
11/01/2025 21:00,350,0,721,8,0,1b,1b,1b,1b,1b
11/01/2025 22:00,NA,0,649,8,0,5b,1b,1b,1b,1b
11/01/2025 23:00,664,0,603,8,0,1b,1b,1b,1b,1b
12/01/2025 00:00,679,0,616,4,0,1b,1b,1b,1b,1b
12/01/2025 01:00,455,0,644,8,0,1b,1b,1b,1b,1b
12/01/2025 02:00,455,0,425,8,0,1b,1b,1b,1b,1b
12/01/2025 03:00,NA,0,249,8,0,5b,1b,1b,1b,1b
12/01/2025 04:00,NA,0,249,8,0,5b,1b,1b,1b,1b
12/01/2025 05:00,NA,0,275,8,0,5b,1b,1b,1b,1b
12/01/2025 06:00,NA,0,247,8,0,5b,1b,1b,1b,1b
12/01/2025 07:00,NA,0,268,8,0,5b,1b,1b,1b,1b
12/01/2025 08:00,NA,0,216,8,0,5b,1b,1b,1b,1b
12/01/2025 09:00,NA,0,196,8,0,5b,1b,1b,1b,1b
12/01/2025 10:00,245,1,612.5,8,0,1b,1b,1b,1b,1b
12/01/2025 11:00,245,0,587,8,0,1b,1b,1b,1b,1b
12/01/2025 12:00,230,1,632,8,0,1b,1b,1b,1b,1b
12/01/2025 13:00,215,1,779,8,0,1b,1b,1b,1b,1b
12/01/2025 14:00,260,1,947,8,0,1b,1b,1b,1b,1b
12/01/2025 15:00,305,1,946,8,0,1b,1b,1b,1b,1b
12/01/2025 16:00,402.5,1,1096.5,8,0,1b,1b,1b,1b,1b
12/01/2025 17:00,470,1,6452,5,0,1b,1b,1b,1b,1b
12/01/2025 18:00,544,1,6025,4,0,1b,1b,1b,1b,1b
12/01/2025 19:00,641.5,1,7079,2,0,1b,1b,1b,1b,1b
12/01/2025 20:00,724,1,7022,2,0,1b,1b,1b,1b,1b
12/01/2025 21:00,739,1,5263,1,0,1b,1b,1b,1b,1b
12/01/2025 22:00,335,1,4899,4,0,1b,1b,1b,1b,1b
12/01/2025 23:00,350,1,4874,6,0,1b,1b,1b,1b,1b
13/01/2025 00:00,485,1,4706,7,0,1b,1b,1b,1b,1b
13/01/2025 01:00,559,1,4679,8,0,1b,1b,1b,1b,1b
13/01/2025 02:00,514,1,9671,5,0,1b,1b,1b,1b,1b
13/01/2025 03:00,559,1,9580,3,0,1b,1b,1b,1b,1b
13/01/2025 04:00,559,1,9252,6,0,1b,1b,1b,1b,1b
13/01/2025 05:00,529,1,1907,7,0,1b,1b,1b,1b,1b
13/01/2025 06:00,514,1,1901.5,8,0,1b,1b,1b,1b,1b
13/01/2025 07:00,455,1,2512,8,0,1b,1b,1b,1b,1b
13/01/2025 08:00,470,1,2628,8,0,1b,1b,1b,1b,1b
13/01/2025 09:00,440,1,5714,7,0,1b,1b,1b,1b,1b
13/01/2025 10:00,380,1,6021.5,7,0,1b,1b,1b,1b,1b
13/01/2025 11:00,380,1,1664,7,0,1b,1b,1b,1b,1b
13/01/2025 12:00,350,1,1650,8,0,1b,1b,1b,1b,1b
13/01/2025 13:00,365,1,5445,8,0,1b,1b,1b,1b,1b
13/01/2025 14:00,395,1,5609,8,0,1b,1b,1b,1b,1b
13/01/2025 15:00,455,1,1425,8,0,1b,1b,1b,1b,1b
13/01/2025 16:00,395,1,1231,8,0,1b,1b,1b,1b,1b
13/01/2025 17:00,619,1,1983.5,8,0,1b,1b,1b,1b,1b
13/01/2025 18:00,350,1,1246,8,0,1b,1b,1b,1b,1b
13/01/2025 19:00,365,1,5928.5,7,0,1b,1b,1b,1b,1b
13/01/2025 20:00,500,1,5267.5,7,0,1b,1b,1b,1b,1b
13/01/2025 21:00,440,1,5128,8,0,1b,1b,1b,1b,1b
